Task ID: 1, Assigned to Server: 1, Server Current Utilization: 0.0612815
Task ID: 104, Assigned to Server: 2, Server Current Utilization: 0.280438
Task ID: 105, Assigned to Server: 2, Server Current Utilization: 0.349117
Task ID: 106, Assigned to Server: 3, Server Current Utilization: 0.221859
Task ID: 107, Assigned to Server: 3, Server Current Utilization: 0.319608
Task ID: 108, Assigned to Server: 3, Server Current Utilization: 0.348737
Task ID: 109, Assigned to Server: 1, Server Current Utilization: 0.250269
Task ID: 110, Assigned to Server: 2, Server Current Utilization: 0.210405
Task ID: 111, Assigned to Server: 2, Server Current Utilization: 0.27051
Task ID: 112, Assigned to Server: 1, Server Current Utilization: 0.178247
Task ID: 113, Assigned to Server: 1, Server Current Utilization: 0.242531
Task ID: 114, Assigned to Server: 1, Server Current Utilization: 0.455331
Task ID: 115, Assigned to Server: 3, Server Current Utilization: 0.196406
Task ID: 116, Assigned to Server: 3, Server Current Utilization: 0.222596
Task ID: 117, Assigned to Server: 2, Server Current Utilization: 0.298173
Task ID: 118, Assigned to Server: 3, Server Current Utilization: 0.327162
Task ID: 119, Assigned to Server: 1, Server Current Utilization: 0.377146
Task ID: 120, Assigned to Server: 2, Server Current Utilization: 0.341714
Task ID: 121, Assigned to Server: 3, Server Current Utilization: 0.32191
Task ID: 122, Assigned to Server: 3, Server Current Utilization: 0.471224
Task ID: 123, Assigned to Server: 2, Server Current Utilization: 0.367463
Task ID: 124, Assigned to Server: 2, Server Current Utilization: 0.407717
Task ID: 125, Assigned to Server: 1, Server Current Utilization: 0.210777
Task ID: 126, Assigned to Server: 1, Server Current Utilization: 0.295127
Task ID: 127, Assigned to Server: 1, Server Current Utilization: 0.749478
Task ID: 128, Assigned to Server: 2, Server Current Utilization: 0.167179
Task ID: 129, Assigned to Server: 2, Server Current Utilization: 0.372593
Task ID: 130, Assigned to Server: 2, Server Current Utilization: 0.438689
Task ID: 131, Assigned to Server: 3, Server Current Utilization: 0.402395
Task ID: 132, Assigned to Server: 3, Server Current Utilization: 0.329836
Task ID: 133, Assigned to Server: 3, Server Current Utilization: 0.358318
Task ID: 134, Assigned to Server: 3, Server Current Utilization: 0.408975
Task ID: 135, Assigned to Server: 2, Server Current Utilization: 0.360438
Task ID: 136, Assigned to Server: 2, Server Current Utilization: 0.477168
Task ID: 137, Assigned to Server: 3, Server Current Utilization: 0.391759
Task ID: 138, Assigned to Server: 1, Server Current Utilization: 0.115415
Task ID: 139, Assigned to Server: 1, Server Current Utilization: 0.0602743
Task ID: 140, Assigned to Server: 1, Server Current Utilization: 0.430647
Task ID: 141, Assigned to Server: 3, Server Current Utilization: 0.309683
Task ID: 142, Assigned to Server: 3, Server Current Utilization: 0.335746
Task ID: 143, Assigned to Server: 3, Server Current Utilization: 0.42993
Task ID: 144, Assigned to Server: 2, Server Current Utilization: 0.24036
Task ID: 145, Assigned to Server: 2, Server Current Utilization: 0.319416
Task ID: 146, Assigned to Server: 2, Server Current Utilization: 0.424102
Task ID: 147, Assigned to Server: 1, Server Current Utilization: 0.140015
Task ID: 148, Assigned to Server: 1, Server Current Utilization: 0.368124
Task ID: 149, Assigned to Server: 1, Server Current Utilization: 0.420345
Task ID: 150, Assigned to Server: 3, Server Current Utilization: 0.452146
Task ID: 151, Assigned to Server: 2, Server Current Utilization: 0.511462
Task ID: 152, Assigned to Server: 1, Server Current Utilization: 0.302096
Task ID: 153, Assigned to Server: 1, Server Current Utilization: 0.608803
Task ID: 154, Assigned to Server: 3, Server Current Utilization: 0.38197
Task ID: 155, Assigned to Server: 3, Server Current Utilization: 0.432532
Task ID: 156, Assigned to Server: 3, Server Current Utilization: 0.530829
Task ID: 157, Assigned to Server: 2, Server Current Utilization: 0.506559
Task ID: 158, Assigned to Server: 2, Server Current Utilization: 0.57725
Task ID: 159, Assigned to Server: 3, Server Current Utilization: 0.458435
Task ID: 160, Assigned to Server: 3, Server Current Utilization: 0.500656
Task ID: 161, Assigned to Server: 1, Server Current Utilization: 0.227514
Task ID: 162, Assigned to Server: 1, Server Current Utilization: 0.512984
Task ID: 163, Assigned to Server: 3, Server Current Utilization: 0.515553
Task ID: 164, Assigned to Server: 2, Server Current Utilization: 0.258716
Task ID: 165, Assigned to Server: 2, Server Current Utilization: 0.335654
Task ID: 166, Assigned to Server: 2, Server Current Utilization: 0.400431
Task ID: 167, Assigned to Server: 1, Server Current Utilization: 0.319644
Task ID: 168, Assigned to Server: 1, Server Current Utilization: 0.645259
Task ID: 169, Assigned to Server: 2, Server Current Utilization: 0.383503
Task ID: 170, Assigned to Server: 2, Server Current Utilization: 0.482735
Task ID: 171, Assigned to Server: 3, Server Current Utilization: 0.308175
Task ID: 172, Assigned to Server: 3, Server Current Utilization: 0.396466
Task ID: 173, Assigned to Server: 3, Server Current Utilization: 0.452282
Task ID: 174, Assigned to Server: 1, Server Current Utilization: 0.0753685
Task ID: 175, Assigned to Server: 1, Server Current Utilization: 0.288938
Task ID: 176, Assigned to Server: 1, Server Current Utilization: 0.382236
Task ID: 177, Assigned to Server: 2, Server Current Utilization: 0.27121
Task ID: 178, Assigned to Server: 2, Server Current Utilization: 0.35758
Task ID: 179, Assigned to Server: 2, Server Current Utilization: 0.401766
Task ID: 180, Assigned to Server: 3, Server Current Utilization: 0.296064
Task ID: 181, Assigned to Server: 3, Server Current Utilization: 0.346185
Task ID: 182, Assigned to Server: 1, Server Current Utilization: 0.203301
Task ID: 183, Assigned to Server: 1, Server Current Utilization: 0.255249
Task ID: 184, Assigned to Server: 1, Server Current Utilization: 0.451932
Task ID: 185, Assigned to Server: 2, Server Current Utilization: 0.376602
Task ID: 186, Assigned to Server: 3, Server Current Utilization: 0.365769
Task ID: 187, Assigned to Server: 3, Server Current Utilization: 0.490459
Task ID: 188, Assigned to Server: 2, Server Current Utilization: 0.387546
Task ID: 189, Assigned to Server: 2, Server Current Utilization: 0.516354
Task ID: 190, Assigned to Server: 1, Server Current Utilization: 0.423314
Task ID: 191, Assigned to Server: 1, Server Current Utilization: 0.655245
Task ID: 192, Assigned to Server: 3, Server Current Utilization: 0.516404
Task ID: 193, Assigned to Server: 2, Server Current Utilization: 0.45606
Task ID: 194, Assigned to Server: 2, Server Current Utilization: 0.655361
Task ID: 195, Assigned to Server: 3, Server Current Utilization: 0.454718
Task ID: 196, Assigned to Server: 3, Server Current Utilization: 0.459535
Task ID: 197, Assigned to Server: 1, Server Current Utilization: 0.300793
Task ID: 198, Assigned to Server: 1, Server Current Utilization: 0.498186
Task ID: 199, Assigned to Server: 3, Server Current Utilization: 0.501253
Task ID: 200, Assigned to Server: 1, Server Current Utilization: 0.530346
Task ID: 201, Assigned to Server: 3, Server Current Utilization: 0.531873
Task ID: 202, Assigned to Server: 1, Server Current Utilization: 0.616783
Task ID: 203, Assigned to Server: 2, Server Current Utilization: 0.491396
Task ID: 204, Assigned to Server: 2, Server Current Utilization: 0.568306
Task ID: 205, Assigned to Server: 3, Server Current Utilization: 0.550774
Task ID: 206, Assigned to Server: 1, Server Current Utilization: 0.549435
Task ID: 207, Assigned to Server: 1, Server Current Utilization: 0.873749
Task ID: 208, Assigned to Server: 3, Server Current Utilization: 0.562658
Task ID: 209, Assigned to Server: 2, Server Current Utilization: 0.402142
Task ID: 210, Assigned to Server: 2, Server Current Utilization: 0.474402
Task ID: 211, Assigned to Server: 2, Server Current Utilization: 0.508108
Task ID: 212, Assigned to Server: 2, Server Current Utilization: 0.614316
Task ID: 213, Assigned to Server: 3, Server Current Utilization: 0.420535
Task ID: 214, Assigned to Server: 3, Server Current Utilization: 0.466254
Task ID: 215, Assigned to Server: 3, Server Current Utilization: 0.498779
Task ID: 216, Assigned to Server: 2, Server Current Utilization: 0.410592
Task ID: 217, Assigned to Server: 2, Server Current Utilization: 0.473376
Task ID: 218, Assigned to Server: 2, Server Current Utilization: 0.836626
Task ID: 219, Assigned to Server: 1, Server Current Utilization: 0.146976
Task ID: 220, Assigned to Server: 1, Server Current Utilization: 0.244615
Task ID: 221, Assigned to Server: 1, Server Current Utilization: 0.296629
Task ID: 222, Assigned to Server: 1, Server Current Utilization: 0.393778
Task ID: 223, Assigned to Server: 1, Server Current Utilization: 0.310286
Task ID: 224, Assigned to Server: 1, Server Current Utilization: 0.698257
Task ID: 225, Assigned to Server: 3, Server Current Utilization: 0.411354
Task ID: 226, Assigned to Server: 3, Server Current Utilization: 0.384561
Task ID: 227, Assigned to Server: 3, Server Current Utilization: 0.423255
Task ID: 228, Assigned to Server: 3, Server Current Utilization: 0.515184
Task ID: 229, Assigned to Server: 3, Server Current Utilization: 0.522297
Task ID: 230, Assigned to Server: 3, Server Current Utilization: 0.629627
Task ID: 231, Assigned to Server: 1, Server Current Utilization: 0.677422
Task ID: 232, Assigned to Server: 2, Server Current Utilization: 0.709293
Task ID: 233, Assigned to Server: 3, Server Current Utilization: 0.595739
Task ID: 234, Assigned to Server: 3, Server Current Utilization: 0.643508
Task ID: 235, Assigned to Server: 3, Server Current Utilization: 0.707672
Task ID: 236, Assigned to Server: 1, Server Current Utilization: 0.80726
Task ID: 237, Assigned to Server: 3, Server Current Utilization: 0.663538
Task ID: 238, Assigned to Server: 3, Server Current Utilization: 0.703643
Task ID: 239, Assigned to Server: 2, Server Current Utilization: 0.605204
Task ID: 240, Assigned to Server: 2, Server Current Utilization: 0.683416
Task ID: 241, Assigned to Server: 2, Server Current Utilization: 0.791438
Task ID: 242, Assigned to Server: 1, Server Current Utilization: 0.562081
Task ID: 243, Assigned to Server: 1, Server Current Utilization: 0.88695
Task ID: 244, Assigned to Server: 3, Server Current Utilization: 0.662623
Task ID: 245, Assigned to Server: 2, Server Current Utilization: 0.283314
Task ID: 246, Assigned to Server: 2, Server Current Utilization: 0.403951
Task ID: 247, Assigned to Server: 2, Server Current Utilization: 0.498277
Task ID: 248, Assigned to Server: 2, Server Current Utilization: 0.53857
Task ID: 249, Assigned to Server: 2, Server Current Utilization: 0.533896
Task ID: 250, Assigned to Server: 2, Server Current Utilization: 0.663757
Task ID: 251, Assigned to Server: 1, Server Current Utilization: 0.492979
Task ID: 252, Assigned to Server: 1, Server Current Utilization: 0.407662
Task ID: 253, Assigned to Server: 1, Server Current Utilization: 0.581968
Task ID: 254, Assigned to Server: 3, Server Current Utilization: 0.566612
Task ID: 255, Assigned to Server: 3, Server Current Utilization: 0.510145
Task ID: 256, Assigned to Server: 3, Server Current Utilization: 0.535785
Task ID: 257, Assigned to Server: 3, Server Current Utilization: 0.646902
Task ID: 258, Assigned to Server: 1, Server Current Utilization: 0.723405
Task ID: 259, Assigned to Server: 2, Server Current Utilization: 0.503439
Task ID: 260, Assigned to Server: 2, Server Current Utilization: 0.600621
Task ID: 261, Assigned to Server: 2, Server Current Utilization: 0.646744
Task ID: 262, Assigned to Server: 1, Server Current Utilization: 0.76375
Task ID: 263, Assigned to Server: 3, Server Current Utilization: 0.508898
Task ID: 264, Assigned to Server: 3, Server Current Utilization: 0.5878
Task ID: 265, Assigned to Server: 2, Server Current Utilization: 0.494017
Task ID: 266, Assigned to Server: 2, Server Current Utilization: 0.531949
Task ID: 267, Assigned to Server: 2, Server Current Utilization: 0.677927
Task ID: 268, Assigned to Server: 1, Server Current Utilization: 0.0820693
Task ID: 269, Assigned to Server: 1, Server Current Utilization: 0.472163
Task ID: 270, Assigned to Server: 1, Server Current Utilization: 0.653027
Task ID: 271, Assigned to Server: 3, Server Current Utilization: 0.610579
Task ID: 272, Assigned to Server: 3, Server Current Utilization: 0.584527
Task ID: 273, Assigned to Server: 3, Server Current Utilization: 0.621236
Task ID: 274, Assigned to Server: 3, Server Current Utilization: 0.714639
Task ID: 275, Assigned to Server: 1, Server Current Utilization: 0.271426
Task ID: 276, Assigned to Server: 1, Server Current Utilization: 0.324148
Task ID: 277, Assigned to Server: 1, Server Current Utilization: 0.674563
Task ID: 278, Assigned to Server: 2, Server Current Utilization: 0.46878
Task ID: 279, Assigned to Server: 2, Server Current Utilization: 0.55877
Task ID: 280, Assigned to Server: 2, Server Current Utilization: 0.73482
Task ID: 281, Assigned to Server: 1, Server Current Utilization: 0.688259
Task ID: 282, Assigned to Server: 3, Server Current Utilization: 0.638788
Task ID: 283, Assigned to Server: 3, Server Current Utilization: 0.694491
Task ID: 284, Assigned to Server: 1, Server Current Utilization: 0.648556
Task ID: 285, Assigned to Server: 2, Server Current Utilization: 0.734149
Task ID: 286, Assigned to Server: 1, Server Current Utilization: 0.739782
Task ID: 287, Assigned to Server: 3, Server Current Utilization: 0.825113
Task ID: 288, Assigned to Server: 2, Server Current Utilization: 0.857151
Task ID: 289, Assigned to Server: 1, Server Current Utilization: 0.45576
Task ID: 290, Assigned to Server: 1, Server Current Utilization: 0.574264
Task ID: 291, Assigned to Server: 1, Server Current Utilization: 0.682504
Task ID: 292, Assigned to Server: 1, Server Current Utilization: 0.919134
Task ID: 293, Assigned to Server: 3, Server Current Utilization: 0.870783
Task ID: 294, Assigned to Server: 2, Server Current Utilization: 0.90193
Task ID: 295, Assigned to Server: 3, Server Current Utilization: 0.789152
Task ID: 296, Assigned to Server: 3, Server Current Utilization: 0.824372
Task ID: 297, Assigned to Server: 3, Server Current Utilization: 0.892433
Task ID: 298, Assigned to Server: 2, Server Current Utilization: 0.711369
Task ID: 299, Assigned to Server: 2, Server Current Utilization: 0.7967
Task ID: 300, Assigned to Server: 2, Server Current Utilization: 0.989212
Task ID: 301, Assigned to Server: 1, Server Current Utilization: 0.717339
Task ID: 302, Assigned to Server: 1, Server Current Utilization: 0.904409
Task ID: 303, Assigned to Server: 3, Server Current Utilization: 0.875966
Task ID: 304, Assigned to Server: 3, Server Current Utilization: 0.894548
Task ID: 305, Assigned to Server: 3, Server Current Utilization: 0.991866
Task ID: 306, Assigned to Server: 2, Server Current Utilization: 0.758355
Task ID: 307, Assigned to Server: 2, Server Current Utilization: 0.858556
Task ID: 308, Assigned to Server: 1, Server Current Utilization: 0.658509
Task ID: 309, Assigned to Server: 1, Server Current Utilization: 0.713558
Task ID: 310, Assigned to Server: 1, Server Current Utilization: 1.07221
Task ID: 311, Assigned to Server: 2, Server Current Utilization: 0.586949
Task ID: 312, Assigned to Server: 2, Server Current Utilization: 0.645591
Task ID: 313, Assigned to Server: 2, Server Current Utilization: 0.851632
Task ID: 314, Assigned to Server: 1, Server Current Utilization: 0.881335
Task ID: 315, Assigned to Server: 2, Server Current Utilization: 1.01301
Task ID: 316, Assigned to Server: 1, Server Current Utilization: 0.984746
Task ID: 317, Assigned to Server: 3, Server Current Utilization: 0.856175
Task ID: 318, Assigned to Server: 3, Server Current Utilization: 0.887999
Task ID: 319, Assigned to Server: 3, Server Current Utilization: 0.941513
Task ID: 320, Assigned to Server: 3, Server Current Utilization: 1.00763
Task ID: 321, Assigned to Server: 1, Server Current Utilization: 1.04336
Task ID: 322, Assigned to Server: 2, Server Current Utilization: 0.947609
Task ID: 323, Assigned to Server: 2, Server Current Utilization: 1.02382
Task ID: 324, Assigned to Server: 3, Server Current Utilization: 0.875168
Task ID: 325, Assigned to Server: 3, Server Current Utilization: 0.932969
Task ID: 326, Assigned to Server: 3, Server Current Utilization: 0.964902
Task ID: 327, Assigned to Server: 2, Server Current Utilization: 1.05262
Task ID: 328, Assigned to Server: 3, Server Current Utilization: 0.913531
Task ID: 329, Assigned to Server: 3, Server Current Utilization: 1.03762
Task ID: 330, Assigned to Server: 1, Server Current Utilization: 0.784648
Task ID: 331, Assigned to Server: 1, Server Current Utilization: 0.886
Task ID: 332, Assigned to Server: 1, Server Current Utilization: 1.14594
Task ID: 334, Assigned to Server: 2, Server Current Utilization: 0.933427
Task ID: 335, Assigned to Server: 2, Server Current Utilization: 1.0514
Task ID: 337, Assigned to Server: 3, Server Current Utilization: 0.93677
Task ID: 338, Assigned to Server: 3, Server Current Utilization: 1.06167
Task ID: 340, Assigned to Server: 1, Server Current Utilization: 0.517701
Task ID: 341, Assigned to Server: 1, Server Current Utilization: 0.58912
Task ID: 342, Assigned to Server: 1, Server Current Utilization: 0.972266
Task ID: 343, Assigned to Server: 1, Server Current Utilization: 1.06134
Task ID: 344, Assigned to Server: 2, Server Current Utilization: 0.578254
Task ID: 345, Assigned to Server: 2, Server Current Utilization: 0.676573
Task ID: 346, Assigned to Server: 2, Server Current Utilization: 0.743581
Task ID: 347, Assigned to Server: 2, Server Current Utilization: 0.756466
Task ID: 348, Assigned to Server: 2, Server Current Utilization: 0.809505
Task ID: 349, Assigned to Server: 2, Server Current Utilization: 0.849935
Task ID: 350, Assigned to Server: 1, Server Current Utilization: 0.861793
Task ID: 351, Assigned to Server: 3, Server Current Utilization: 0.700267
Task ID: 352, Assigned to Server: 3, Server Current Utilization: 0.843567
Task ID: 353, Assigned to Server: 3, Server Current Utilization: 0.878094
Task ID: 354, Assigned to Server: 2, Server Current Utilization: 0.619485
Task ID: 355, Assigned to Server: 2, Server Current Utilization: 0.654216
Task ID: 356, Assigned to Server: 2, Server Current Utilization: 0.725763
Task ID: 357, Assigned to Server: 2, Server Current Utilization: 0.727798
Task ID: 358, Assigned to Server: 2, Server Current Utilization: 0.790963
Task ID: 359, Assigned to Server: 1, Server Current Utilization: 0.73432
Task ID: 360, Assigned to Server: 1, Server Current Utilization: 0.827339
Task ID: 361, Assigned to Server: 2, Server Current Utilization: 0.721525
Task ID: 362, Assigned to Server: 2, Server Current Utilization: 0.760883
Task ID: 363, Assigned to Server: 3, Server Current Utilization: 0.674696
Task ID: 364, Assigned to Server: 3, Server Current Utilization: 0.702134
Task ID: 365, Assigned to Server: 3, Server Current Utilization: 0.736799
Task ID: 366, Assigned to Server: 3, Server Current Utilization: 0.777694
Task ID: 367, Assigned to Server: 1, Server Current Utilization: 0.258068
Task ID: 368, Assigned to Server: 1, Server Current Utilization: 0.330832
Task ID: 369, Assigned to Server: 1, Server Current Utilization: 0.562775
Task ID: 370, Assigned to Server: 1, Server Current Utilization: 0.50402
Task ID: 371, Assigned to Server: 1, Server Current Utilization: 0.58335
Task ID: 372, Assigned to Server: 1, Server Current Utilization: 0.674079
Task ID: 373, Assigned to Server: 2, Server Current Utilization: 0.56501
Task ID: 374, Assigned to Server: 2, Server Current Utilization: 0.614078
Task ID: 375, Assigned to Server: 2, Server Current Utilization: 0.662011
Task ID: 376, Assigned to Server: 1, Server Current Utilization: 0.676785
Task ID: 377, Assigned to Server: 3, Server Current Utilization: 0.693542
Task ID: 378, Assigned to Server: 2, Server Current Utilization: 0.749274
Task ID: 379, Assigned to Server: 1, Server Current Utilization: 0.775897
Task ID: 380, Assigned to Server: 3, Server Current Utilization: 0.743138
Task ID: 381, Assigned to Server: 3, Server Current Utilization: 0.79196
Task ID: 382, Assigned to Server: 2, Server Current Utilization: 0.882804
Task ID: 383, Assigned to Server: 1, Server Current Utilization: 0.507722
Task ID: 384, Assigned to Server: 1, Server Current Utilization: 0.701638
Task ID: 385, Assigned to Server: 1, Server Current Utilization: 0.865376
Task ID: 386, Assigned to Server: 3, Server Current Utilization: 0.684713
Task ID: 387, Assigned to Server: 3, Server Current Utilization: 0.728277
Task ID: 388, Assigned to Server: 3, Server Current Utilization: 0.775326
Task ID: 389, Assigned to Server: 3, Server Current Utilization: 0.810172
Task ID: 390, Assigned to Server: 2, Server Current Utilization: 0.909999
Task ID: 391, Assigned to Server: 1, Server Current Utilization: 0.89797
Task ID: 392, Assigned to Server: 3, Server Current Utilization: 0.761269
Task ID: 393, Assigned to Server: 3, Server Current Utilization: 0.79824
Task ID: 394, Assigned to Server: 3, Server Current Utilization: 0.828871
Task ID: 395, Assigned to Server: 3, Server Current Utilization: 0.911452
Task ID: 396, Assigned to Server: 1, Server Current Utilization: 0.832004
Task ID: 397, Assigned to Server: 1, Server Current Utilization: 0.988126
Task ID: 398, Assigned to Server: 2, Server Current Utilization: 0.977646
Task ID: 399, Assigned to Server: 3, Server Current Utilization: 0.895385
Task ID: 400, Assigned to Server: 3, Server Current Utilization: 0.957623
Task ID: 401, Assigned to Server: 3, Server Current Utilization: 1.012
Task ID: 402, Assigned to Server: 2, Server Current Utilization: 1.0988
Task ID: 403, Assigned to Server: 1, Server Current Utilization: 0.774952
Task ID: 404, Assigned to Server: 1, Server Current Utilization: 1.23937
Task ID: 406, Assigned to Server: 3, Server Current Utilization: 1.06961
Task ID: 412, Assigned to Server: 1, Server Current Utilization: 0.934095
Task ID: 413, Assigned to Server: 3, Server Current Utilization: 0.867086
Task ID: 414, Assigned to Server: 3, Server Current Utilization: 0.983178
Task ID: 415, Assigned to Server: 1, Server Current Utilization: 1.00192
Task ID: 416, Assigned to Server: 2, Server Current Utilization: 0.937473
Task ID: 417, Assigned to Server: 2, Server Current Utilization: 0.983922
Task ID: 418, Assigned to Server: 3, Server Current Utilization: 0.995965
